what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670678182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670681914
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516670682017
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670682017
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670684096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670684142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516670720472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1516670727366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1516670731268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516670738560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670746177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670748586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670778093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670837300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670849602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670852974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516670857772
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516670867530
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670879621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516670912071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516670933198
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516671034078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516671071636
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516671083127
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516671083179
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516671083179
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1516671097481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516671104525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516671485112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516671486150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516673557121
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1516673594192
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1516673594277
opened,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1516673594702
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1516673594961
activated,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1516673597898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.helpSearch",1516673598219
error,log,,,"Help documentation could not be indexed completely.",1516673606789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516673625341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516680227062
